country,channel,impressions,clicks,cost,installs,visits,purchases,revenue
J,Web-Retargeting,131,44,1.01,,1,0,
J,Web-Retargeting,964,4,0.5,,3,0,
J,Web-Acquisition,369379,4172,292.03,,3308,46,14.14
J,Web-Acquisition,741131,9614,240.94,,3394,68,23.63
J,Web-Acquisition,756124,11545,153.74,,5736,6,1.24
J,Web-Acquisition,966928,14809,152.01,,7133,55,11.18
J,Web-Acquisition,22370,8196,84.08,,71,5,1.34
J,Web-Acquisition,32210,5652,58.51,,116,9,1.87
J,Web-Acquisition,1479,928,9.7,,2,0,
J,Web-Acquisition,972,543,5.7,,2,0,0.05
J,Web-Acquisition,333,240,2.4,,4,1,0.5
J,Web-Acquisition,307,77,0.77,,2,0,
J,SEM-Brand,3176,636,180.42,,636,144,38.93
J,SEM-Brand,5588,1886,177.25,,2534,1028,447.4
J,SEM-Brand,14277,3295,166.08,,3879,893,190.35
J,SEM-Brand,323,97,78.17,,275,78,38.39
J,SEM-Flights,1377,580,221.37,,748,212,83.39
J,SEM-Flights,6236,817,195.67,,730,137,80.78
J,SEM-Flights,38076,4938,184.56,,4192,627,133.08
J,SEM-Flights,11068,2174,141.27,,2656,669,130.5
J,SEM-Flights,2783,659,135.15,,607,150,62.96
J,SEM-Flights,10889,605,116.33,,580,63,25.09
J,SEM-Flights,21837,2858,113.35,,2601,320,58.92
J,SEM-Flights,16358,1986,75.01,,1727,239,43.77
J,SEM-Flights,15583,1969,72.53,,1779,264,45.56
J,SEM-Flights,1698,327,63.6,,309,53,23.5
J,SEM-Flights,1986,351,60.51,,367,87,33.03
J,SEM-Flights,3990,121,37.37,,158,28,10.9
J,SEM-Flights,1867,164,35.78,,143,44,21.42
J,SEM-Flights,4293,157,31.75,,170,34,13.37
J,SEM-Flights,5635,589,22.78,,538,88,15.79
J,SEM-Flights,7400,300,14.41,,314,54,11.48
J,SEM-Flights,2224,46,13.36,,88,13,5.28
J,SEM-Flights,4927,228,12.62,,232,49,9
J,SEM-Flights,1033,49,12.57,,44,3,1.23
J,SEM-Flights,557,28,12.27,,33,11,5.25
J,SEM-Flights,5702,32,9.7,,35,9,4.56
J,SEM-Flights,180,35,8.42,,33,5,1.48
J,SEM-Flights,926,32,7.95,,34,9,4.47
J,SEM-Flights,2504,16,5.84,,21,6,2.58
J,SEM-Flights,2773,152,5.1,,122,12,2.51
J,SEM-Flights,901,131,4.74,,107,10,1.74
J,SEM-Flights,900,60,3.64,,57,16,5.27
J,SEM-Flights,107,14,2.76,,13,4,1.81
J,SEM-Flights,1143,45,2.66,,58,12,1.55
J,SEM-Flights,550,33,2.13,,37,8,1.32
J,SEM-Flights,589,15,1.97,,34,11,1.87
J,SEM-Flights,634,31,1.91,,31,15,2.08
J,SEM-Flights,170,13,1.76,,14,0,
J,SEM-Flights,72,7,1.74,,6,0,
J,SEM-Flights,473,58,1.64,,49,9,1.47
J,SEM-Flights,51,3,0.71,,6,1,0.11
J,SEM-Flights,128,5,0.65,,5,1,0.13
J,SEM-Flights,229,20,0.56,,19,0,
J,SEM-Flights,56,11,0.4,,8,2,0.31
J,SEM-Flights,3,1,0.31,,1,0,
J,SEM-Flights,95,7,0.31,,7,1,0.07
J,SEM-Flights,19,3,0.23,,3,1,0.36
J,SEM-Flights,4,1,0.18,,1,3,1.35
J,SEM-Flights,191,1,0.15,,1,0,
J,SEM-Flights,17,5,0.15,,6,0,
J,SEM-Flights,63,1,0.1,,1,1,0.11
J,SEM-Flights,4,1,0.05,,1,0,
J,SEM-Flights,12,2,0.04,,2,0,
J,SEM-Flights,8,0,0,,1,0,
J,SEM-Hotels,7143,452,39.24,,458,57,24.21
J,SEM-Hotels,2948,162,30.68,,146,25,11.47
J,SEM-Hotels,1305,77,22.84,,74,16,7.17
J,SEM-Hotels,4284,210,17.48,,226,44,17.78
J,SEM-Hotels,3993,85,16.07,,76,8,5.46
J,SEM-Hotels,659,47,15.4,,45,15,7.11
J,SEM-Hotels,8713,28,14.34,,27,6,2.51
J,SEM-Hotels,1151,47,12,,42,6,2.93
J,SEM-Hotels,686,44,6.83,,32,6,2.34
J,SEM-Hotels,283,13,5.67,,12,4,1.56
J,SEM-Hotels,2154,44,5.48,,31,4,1.75
J,SEM-Hotels,1769,22,5.31,,36,6,2.68
J,SEM-Hotels,972,60,5.24,,52,13,5.86
J,SEM-Hotels,186,15,4.99,,18,3,3.03
J,SEM-Hotels,1119,18,4.89,,15,3,1.22
J,SEM-Hotels,677,61,4.48,,58,5,2.24
J,SEM-Hotels,1250,53,4.12,,14,2,0.6
J,SEM-Hotels,848,65,3.93,,62,8,3.74
J,SEM-Hotels,217,10,3.47,,8,3,1.72
J,SEM-Hotels,450,13,3.38,,9,4,1.39
J,SEM-Hotels,656,22,2.87,,21,7,4.29
J,SEM-Hotels,688,25,2.73,,21,4,2.04
J,SEM-Hotels,417,32,2.5,,34,2,0.92
J,SEM-Hotels,968,4,1.92,,5,1,0.36
J,SEM-Hotels,350,27,1.91,,23,1,0.5
J,SEM-Hotels,77,3,1.21,,4,0,
J,SEM-Hotels,71,5,1.02,,5,0,
J,SEM-Hotels,65,3,1.02,,3,0,0.03
J,SEM-Hotels,105,5,0.96,,4,3,1.27
J,SEM-Hotels,116,17,0.87,,15,4,2.01
J,SEM-Hotels,1259,2,0.7,,1,0,
J,SEM-Hotels,261,7,0.61,,1,0,
J,SEM-Hotels,13,1,0.4,,1,0,
J,SEM-Hotels,52,2,0.39,,3,0,
J,SEM-Hotels,12,1,0.28,,1,0,
J,SEM-Hotels,76,1,0.22,,1,0,
J,SEM-Hotels,756,5,0.17,,5,0,
J,SEM-Hotels,189,1,0.09,,1,0,
J,SEM-Hotels,17,1,0.08,,1,0,
J,SEM-Hotels,23,1,0.01,,1,0,
K,APP-Acquisition-Android,16505340,82730,"8,943","11,081",,8161,662.56
K,APP-Acquisition-Android,6638604,49786,"5,567","9,832",,6430,988.6
K,APP-Acquisition-iOS,2297150,15407,"3,232","3,823",,1410,530.79
K,APP-Acquisition-iOS,2214248,12805,"2,326","2,043",,845,286.02
K,APP-Acquisition-iOS,1324829,6559,"2,303","1,903",,805,281.1
K,APP-Acquisition-iOS,11170,91,29,22,,8,0.38
K,APP-Acquisition-iOS,6073,15,3,1,,2,
K,Web-Retargeting,366053,7534,225.95,,3526,37,10.58
K,Web-Retargeting,584533,5321,203.7,,4443,138,79.14
K,Web-Retargeting,4964,1308,45.18,,26,0,
K,Web-Retargeting,1656,398,14.52,,9,0,
K,Web-Retargeting,7470,40,6.7,,50,11,7.59
K,Web-Retargeting,570,159,6.33,,14,9,7.76
K,Web-Retargeting,433,206,6.08,,1,0,
K,Web-Retargeting,554,162,4.54,,2,0,
K,Web-Retargeting,671,143,4.1,,5,2,0.34
K,Web-Retargeting,320,57,2.38,,4,0,
K,Web-Retargeting,2939,34,0.96,,2,0,
K,Web-Acquisition,1214647,13441,666.8,,6837,14,5.68
K,Web-Acquisition,1396658,20650,636.27,,8418,53,25.1
K,Web-Acquisition,777219,5008,496.83,,2683,266,126.34
K,Web-Acquisition,61288,15948,359.86,,164,13,5.54
K,Web-Acquisition,39236,10545,244.38,,142,18,21.55
K,Web-Acquisition,511985,4984,208.67,,1942,68,76.71
K,Web-Acquisition,10392,3152,114.9,,35,10,9.57
K,Web-Acquisition,47544,40,72.66,,36,8,4.96
K,Web-Acquisition,1175,590,8.58,,6,0,
K,Web-Acquisition,708,368,7.39,,11,13,9.87
K,Web-Acquisition,678,348,4.35,,9,0,
K,Web-Acquisition,1141716,1396,0.03,,445,0,
K,Web-Acquisition,1075912,716,0,,333,1,0.1
K,Web-Acquisition,671288,1033,0,,513,1,0.1
K,Web-Acquisition,129120,149,0,,57,0,
K,SEM-Brand,85448,20741,878.33,,24150,6525,2044.86
K,SEM-Brand,67153,22421,842.44,,31297,14497,11294.66
K,SEM-Brand,28350,7293,343.13,,8605,2749,847.14
K,SEM-Brand,8885,2932,227.74,,5800,3481,2665.96
K,SEM-Flights,16613,3990,4001.63,,5475,2255,1708.49
K,SEM-Flights,64648,2352,1452.74,,2879,1207,881.27
K,SEM-Flights,57730,9271,1083.93,,10397,3044,991.73
K,SEM-Flights,76948,2225,1015.41,,2316,415,329.61
K,SEM-Flights,278365,7960,957.96,,7468,1092,116.22
K,SEM-Flights,38406,983,667.66,,1143,351,267.64
K,SEM-Flights,29822,1372,600.48,,1493,240,205.31
K,SEM-Flights,17197,763,536.8,,929,314,267.83
K,SEM-Flights,117712,7308,476.7,,7379,1407,572.02
K,SEM-Flights,8149,560,320.05,,576,76,81.76
K,SEM-Flights,8456,579,288.11,,631,87,79.71
K,SEM-Flights,43781,3198,214.3,,3332,635,274.3
K,SEM-Flights,16453,427,205.06,,416,89,74.07
K,SEM-Flights,4766,317,178.42,,338,46,41.43
K,SEM-Flights,86310,2815,145.66,,2185,128,11.96
K,SEM-Flights,47115,2181,145.57,,1667,119,5.05
K,SEM-Flights,65982,800,145.54,,741,89,9.12
K,SEM-Flights,5131,319,144.3,,321,57,60.91
K,SEM-Flights,4236,279,142.43,,283,38,31.98
K,SEM-Flights,17493,623,103.82,,571,48,3.29
K,SEM-Flights,17425,1156,96,,873,46,5.75
K,SEM-Flights,1828,144,82.86,,167,60,42.1
K,SEM-Flights,857,122,80.56,,105,27,20.27
K,SEM-Flights,22800,1534,79.17,,1494,151,54.55
K,SEM-Flights,20383,1420,79.11,,1406,187,78
K,SEM-Flights,7487,470,72.11,,369,81,27.18
K,SEM-Flights,14057,450,69.82,,402,18,1.04
K,SEM-Flights,14640,440,66.46,,425,21,1.47
K,SEM-Flights,13553,422,63.79,,379,34,1.63
K,SEM-Flights,8694,1083,63.26,,941,145,56.46
K,SEM-Flights,23994,1120,62.73,,1259,173,73.7
K,SEM-Flights,2522,155,55.09,,160,17,12.46
K,SEM-Flights,16135,655,54.32,,575,54,5.13
K,SEM-Flights,7754,821,53.04,,770,158,54.07
K,SEM-Flights,12691,345,51.53,,312,13,0.54
K,SEM-Flights,9855,678,51.3,,718,99,30.78
K,SEM-Flights,456,63,47.61,,61,22,14.49
K,SEM-Flights,1143,70,37.44,,69,11,9.39
K,SEM-Flights,6389,235,35.42,,214,9,0.69
K,SEM-Flights,5164,220,34.19,,198,10,0.66
K,SEM-Flights,5661,215,31.88,,200,4,0.12
K,SEM-Flights,6772,458,26.13,,476,88,30.35
K,SEM-Flights,3136,54,25.15,,67,18,15.33
K,SEM-Flights,6116,511,22.48,,521,68,21.74
K,SEM-Flights,14594,146,22.03,,131,17,1.04
K,SEM-Flights,3692,431,21.17,,339,96,27.06
K,SEM-Flights,7948,230,19.72,,381,67,33.28
K,SEM-Flights,4378,252,19.47,,208,13,1.67
K,SEM-Flights,166,27,18.69,,29,11,8.02
K,SEM-Flights,4398,125,18.02,,116,4,0.66
K,SEM-Flights,3205,116,17.79,,109,6,0.23
K,SEM-Flights,4146,119,17.56,,114,3,0.75
K,SEM-Flights,598,49,16.57,,96,2,2.14
K,SEM-Flights,4230,111,16.29,,108,5,0.17
K,SEM-Flights,2866,108,15.41,,92,4,0.58
K,SEM-Flights,1954,92,14.51,,81,5,1.13
K,SEM-Flights,1356,171,14.32,,156,45,18.54
K,SEM-Flights,400,29,14.21,,32,7,5.98
K,SEM-Flights,7406,393,11.69,,275,4,0.7
K,SEM-Flights,3869,73,11.08,,63,2,0.05
K,SEM-Flights,1567,76,11.05,,71,1,0.04
K,SEM-Flights,2206,151,9.67,,137,16,6.58
K,SEM-Flights,1090,113,9.66,,79,1,0.24
K,SEM-Flights,1188,108,9.34,,71,1,
K,SEM-Flights,3236,177,9,,166,29,9.42
K,SEM-Flights,1356,104,8.91,,70,3,0.51
K,SEM-Flights,3105,129,8.68,,150,12,4.57
K,SEM-Flights,1018,49,7.2,,45,2,0.06
K,SEM-Flights,4266,234,6.77,,192,8,1.07
K,SEM-Flights,1256,130,6.58,,132,73,23.89
K,SEM-Flights,1748,124,6.55,,112,27,7.34
K,SEM-Flights,18577,47,6.51,,39,7,0.22
K,SEM-Flights,1353,43,6.3,,43,1,0.04
K,SEM-Flights,65,12,6.09,,12,8,4.77
K,SEM-Flights,3343,200,5.75,,148,2,0.48
K,SEM-Flights,1879,39,5.66,,29,1,0.04
K,SEM-Flights,3147,196,5.43,,140,4,0.09
K,SEM-Flights,711,62,5.19,,52,2,0.48
K,SEM-Flights,20308,31,4.44,,32,1,0.04
K,SEM-Flights,2990,110,4.29,,110,16,4.14
K,SEM-Flights,351,51,4.27,,32,11,0.76
K,SEM-Flights,943,54,4.13,,45,2,0.24
K,SEM-Flights,1033,53,4.07,,37,0,0.19
K,SEM-Flights,1474,110,3.9,,115,3,1.7
K,SEM-Flights,9856,24,3.51,,22,0,
K,SEM-Flights,303,9,3.15,,9,1,0.97
K,SEM-Flights,1834,106,3.1,,81,0,
K,SEM-Flights,589,36,2.93,,32,2,0.48
K,SEM-Flights,2387,100,2.9,,76,2,0.06
K,SEM-Flights,526,32,2.63,,20,3,0.73
K,SEM-Flights,137,16,2.43,,19,19,18.7
K,SEM-Flights,156,4,2.37,,7,3,2.2
K,SEM-Flights,227,28,2.12,,20,0,
K,SEM-Flights,506,14,2.03,,12,1,0.04
K,SEM-Flights,381,26,1.97,,20,1,0.24
K,SEM-Flights,88,5,1.91,,6,0,
K,SEM-Flights,647,24,1.84,,19,0,
K,SEM-Flights,679,13,1.83,,16,3,0.67
K,SEM-Flights,1053,41,1.76,,65,29,8.58
K,SEM-Flights,1182,55,1.6,,38,1,0.26
K,SEM-Flights,976,51,1.46,,44,0,
K,SEM-Flights,775,51,1.4,,38,4,0
K,SEM-Flights,426,41,1.39,,31,7,2.84
K,SEM-Flights,804,50,1.36,,42,2,0.3
K,SEM-Flights,1936,9,1.31,,7,0,
K,SEM-Flights,29,2,1.15,,2,0,
K,SEM-Flights,321,32,0.9,,18,1,0.24
K,SEM-Flights,314,23,0.87,,21,2,0.45
K,SEM-Flights,472,29,0.82,,16,5,1.01
K,SEM-Flights,712,28,0.8,,22,1,0.24
K,SEM-Flights,294,27,0.78,,22,1,0.49
K,SEM-Flights,1013,5,0.74,,5,0,
K,SEM-Flights,73,8,0.47,,6,0,0.23
K,SEM-Flights,100,13,0.38,,10,0,
K,SEM-Flights,189,9,0.37,,7,3,1.21
K,SEM-Flights,192,8,0.21,,6,0,
K,SEM-Flights,35,3,0.2,,3,0,
K,SEM-Flights,106,3,0.09,,2,0,
K,SEM-Flights,27,1,0.08,,,0,1.66
K,SEM-Flights,3,1,0.06,,1,0,
K,SEM-Flights,105,1,0.04,,1,0,
K,SEM-Hotels,27291,1331,220.01,,1373,46,19.68
K,SEM-Hotels,31534,2086,214.45,,2019,216,81.39
K,SEM-Hotels,27789,1833,210.24,,1699,202,86.21
K,SEM-Hotels,14563,1081,149.54,,871,115,41.39
K,SEM-Hotels,7423,726,79.38,,652,36,15.6
K,SEM-Hotels,1789,76,45.07,,74,15,9.59
K,SEM-Hotels,2353,101,30.79,,105,28,15.49
K,SEM-Hotels,1087,36,24.72,,29,13,7.23
K,SEM-Hotels,403,31,20.83,,31,8,5.02
K,SEM-Hotels,6722,341,20.3,,303,4,1.67
K,SEM-Hotels,814,28,19.9,,11,4,2.65
K,SEM-Hotels,1242,33,19.67,,29,17,10.47
K,SEM-Hotels,1774,113,18.68,,106,13,2.85
K,SEM-Hotels,1012,30,18.36,,31,8,6.28
K,SEM-Hotels,2491,107,17.51,,101,9,3.88
K,SEM-Hotels,3404,100,16.3,,91,23,16.26
K,SEM-Hotels,332,11,15.19,,19,8,7.22
K,SEM-Hotels,193,21,13.84,,22,4,2.78
K,SEM-Hotels,2489,113,13.72,,86,13,11.94
K,SEM-Hotels,320,10,13.32,,8,8,6.36
K,SEM-Hotels,3651,30,10.39,,28,7,2.27
K,SEM-Hotels,488,18,10.32,,22,3,2.24
K,SEM-Hotels,766,22,10.11,,20,24,11.8
K,SEM-Hotels,1375,69,9.55,,57,18,55.96
K,SEM-Hotels,947,118,9.18,,114,9,1.16
K,SEM-Hotels,239,13,7.8,,14,5,2.49
K,SEM-Hotels,4125,191,7.58,,174,10,1.4
K,SEM-Hotels,953,46,7.51,,43,3,1.06
K,SEM-Hotels,2210,63,7.47,,64,8,2.26
K,SEM-Hotels,3063,56,7.31,,45,9,12.36
K,SEM-Hotels,717,91,7.13,,95,7,3.15
K,SEM-Hotels,1159,42,7.03,,38,4,1.34
K,SEM-Hotels,963,40,6.76,,36,6,1.83
K,SEM-Hotels,1112,37,6.2,,35,5,0.57
K,SEM-Hotels,1130,59,6.17,,44,9,12.2
K,SEM-Hotels,1137,43,6.09,,31,7,6.42
K,SEM-Hotels,1802,50,5.89,,48,6,2.33
K,SEM-Hotels,2784,148,5.85,,127,11,5.15
K,SEM-Hotels,227,13,5.81,,13,1,0.92
K,SEM-Hotels,2461,34,5.36,,33,3,1.45
K,SEM-Hotels,1160,68,5.24,,71,14,4.53
K,SEM-Hotels,1475,20,4.94,,22,3,0.68
K,SEM-Hotels,255,15,4.8,,16,1,0.28
K,SEM-Hotels,856,41,4.7,,37,5,0.83
K,SEM-Hotels,1661,63,4.7,,56,2,0.23
K,SEM-Hotels,935,26,3.85,,25,2,1
K,SEM-Hotels,644,22,3.7,,23,3,0.36
K,SEM-Hotels,211,6,3.57,,6,3,1.61
K,SEM-Hotels,993,22,3.56,,20,9,3.04
K,SEM-Hotels,926,21,3.55,,19,2,0.7
K,SEM-Hotels,629,22,3.49,,20,4,1.6
K,SEM-Hotels,853,21,3.48,,20,2,0.95
K,SEM-Hotels,154,6,3.46,,3,6,1.75
K,SEM-Hotels,813,42,3.43,,45,9,2.19
K,SEM-Hotels,531,42,3.28,,37,3,1.15
K,SEM-Hotels,2599,81,3.23,,74,2,1
K,SEM-Hotels,775,15,3.16,,15,0,
K,SEM-Hotels,47,5,2.93,,4,0,
K,SEM-Hotels,1018,17,2.87,,16,3,0.53
K,SEM-Hotels,1165,42,2.84,,38,0,
K,SEM-Hotels,842,23,2.71,,21,2,1.25
K,SEM-Hotels,429,24,2.54,,18,4,1.93
K,SEM-Hotels,967,15,2.5,,14,2,0.55
K,SEM-Hotels,1212,62,2.48,,55,1,0.2
K,SEM-Hotels,628,21,2.42,,18,2,0.48
K,SEM-Hotels,1865,59,2.36,,54,0,
K,SEM-Hotels,119,6,2.19,,6,0,
K,SEM-Hotels,604,19,2.19,,17,0,
K,SEM-Hotels,516,18,2.16,,17,0,
K,SEM-Hotels,1723,51,2.04,,43,2,0.53
K,SEM-Hotels,242,12,1.99,,11,1,0.2
K,SEM-Hotels,203,11,1.82,,11,2,0.56
K,SEM-Hotels,582,15,1.78,,12,0,0.01
K,SEM-Hotels,463,15,1.77,,8,2,1.1
K,SEM-Hotels,336,14,1.68,,15,1,0.75
K,SEM-Hotels,5953,10,1.67,,10,3,1.5
K,SEM-Hotels,867,41,1.64,,33,4,0.96
K,SEM-Hotels,329,14,1.63,,14,2,0.53
K,SEM-Hotels,466,9,1.53,,9,0,
K,SEM-Hotels,461,9,1.43,,9,2,0.53
K,SEM-Hotels,526,12,1.38,,11,0,
K,SEM-Hotels,311,19,1.32,,12,0,
K,SEM-Hotels,274,16,1.28,,15,0,
K,SEM-Hotels,603,10,1.18,,11,0,
K,SEM-Hotels,1081,14,1.18,,12,4,1.95
K,SEM-Hotels,253,7,1.14,,6,2,0.8
K,SEM-Hotels,711,10,1.14,,13,3,0.87
K,SEM-Hotels,359,7,1.14,,7,1,0.75
K,SEM-Hotels,1363,28,1.12,,32,2,1
K,SEM-Hotels,341,9,1.07,,9,1,0.03
K,SEM-Hotels,344,9,1.05,,10,2,0.48
K,SEM-Hotels,691,6,1.02,,4,0,
K,SEM-Hotels,136,6,1.02,,3,0,
K,SEM-Hotels,387,6,1.02,,6,1,0.3
K,SEM-Hotels,865,35,1.01,,43,0,
K,SEM-Hotels,304,6,1.01,,6,0,
K,SEM-Hotels,262,6,1.01,,5,0,
K,SEM-Hotels,1038,13,0.99,,12,2,0.95
K,SEM-Hotels,136,6,0.95,,2,0,
K,SEM-Hotels,784,8,0.9,,6,0,
K,SEM-Hotels,492,22,0.88,,16,0,
K,SEM-Hotels,186,5,0.85,,5,3,0.58
K,SEM-Hotels,267,5,0.85,,4,1,0
K,SEM-Hotels,541,7,0.84,,7,0,
K,SEM-Hotels,280,16,0.79,,16,0,
K,SEM-Hotels,272,8,0.79,,7,0,
K,SEM-Hotels,416,7,0.78,,11,3,0.09
K,SEM-Hotels,784,19,0.76,,16,2,0.67
K,SEM-Hotels,963,19,0.75,,16,0,
K,SEM-Hotels,220,6,0.72,,6,0,
K,SEM-Hotels,211,6,0.72,,6,0,
K,SEM-Hotels,263,6,0.71,,7,0,
K,SEM-Hotels,103,6,0.7,,6,2,0.7
K,SEM-Hotels,193,4,0.68,,7,0,
K,SEM-Hotels,180,4,0.68,,3,1,0.5
K,SEM-Hotels,104,4,0.68,,3,0,
K,SEM-Hotels,389,16,0.64,,12,0,
K,SEM-Hotels,265,5,0.6,,6,0,
K,SEM-Hotels,632,15,0.6,,16,3,0.6
K,SEM-Hotels,129,5,0.6,,6,1,0.2
K,SEM-Hotels,286,5,0.58,,5,0,
K,SEM-Hotels,179,3,0.51,,4,0,
K,SEM-Hotels,172,3,0.51,,3,0,
K,SEM-Hotels,140,3,0.51,,3,1,0.5
K,SEM-Hotels,462,3,0.51,,3,2,0.8
K,SEM-Hotels,94,3,0.51,,3,0,
K,SEM-Hotels,254,3,0.5,,2,0,
K,SEM-Hotels,154,4,0.48,,3,0,
K,SEM-Hotels,141,4,0.48,,6,1,0
K,SEM-Hotels,41,2,0.47,,2,0,
K,SEM-Hotels,213,4,0.47,,5,0,
K,SEM-Hotels,299,4,0.47,,4,1,0.5
K,SEM-Hotels,631,3,0.46,,3,0,
K,SEM-Hotels,449,11,0.43,,10,0,
K,SEM-Hotels,274,10,0.4,,9,0,
K,SEM-Hotels,128,3,0.4,,3,0,
K,SEM-Hotels,327,10,0.4,,9,0,
K,SEM-Hotels,227,3,0.36,,4,0,
K,SEM-Hotels,141,3,0.36,,3,0,
K,SEM-Hotels,147,2,0.33,,2,0,
K,SEM-Hotels,140,5,0.33,,7,0,
K,SEM-Hotels,169,2,0.3,,2,0,
K,SEM-Hotels,310,7,0.28,,7,0,
K,SEM-Hotels,204,3,0.26,,3,0,
K,SEM-Hotels,252,2,0.24,,2,0,
K,SEM-Hotels,194,6,0.24,,7,1,0.5
K,SEM-Hotels,159,2,0.23,,3,1,0
K,SEM-Hotels,85,2,0.22,,2,0,
K,SEM-Hotels,181,3,0.22,,3,0,
K,SEM-Hotels,262,2,0.21,,2,0,
K,SEM-Hotels,275,5,0.2,,3,0,
K,SEM-Hotels,81,5,0.2,,4,0,
K,SEM-Hotels,167,5,0.19,,5,0,
K,SEM-Hotels,130,5,0.17,,4,0,
K,SEM-Hotels,58,1,0.17,,1,0,
K,SEM-Hotels,14,1,0.17,,1,0,
K,SEM-Hotels,67,1,0.17,,1,0,
K,SEM-Hotels,262,4,0.16,,3,0,
K,SEM-Hotels,253,4,0.16,,4,1,0.02
K,SEM-Hotels,86,2,0.16,,2,0,
K,SEM-Hotels,223,7,0.14,,5,0,
K,SEM-Hotels,73,3,0.12,,2,1,0.45
K,SEM-Hotels,151,1,0.12,,1,0,
K,SEM-Hotels,277,3,0.12,,2,0,
K,SEM-Hotels,44,1,0.12,,1,0,
K,SEM-Hotels,87,3,0.12,,3,0,
K,SEM-Hotels,61,3,0.12,,3,0,
K,SEM-Hotels,234,1,0.11,,1,0,
K,SEM-Hotels,182,5,0.1,,4,0,
K,SEM-Hotels,54,1,0.1,,1,0,
K,SEM-Hotels,103,5,0.1,,5,1,0.2
K,SEM-Hotels,161,4,0.08,,2,1,0.5
K,SEM-Hotels,86,2,0.08,,2,0,
K,SEM-Hotels,135,2,0.08,,2,1,0.45
K,SEM-Hotels,13,1,0.08,,1,0,
K,SEM-Hotels,182,3,0.06,,3,0,
K,SEM-Hotels,29,1,0.06,,1,0,
K,SEM-Hotels,3,2,0.04,,1,0,
K,SEM-Hotels,52,1,0.04,,1,1,0.05
K,SEM-Hotels,53,2,0.04,,2,0,
K,SEM-Hotels,11,1,0.04,,1,1,0.45
K,SEM-Hotels,17,1,0.02,,1,0,
K,SEM-Hotels,67,0,0,,1,0,
K,SEM-Hotels,39,0,0,,2,0,
K,SEM-Hotels,156,0,0,,1,0,
K,SEM-Hotels,46,0,0,,1,0,
O,APP-Acquisition-Android,2827756,10168,"1,416","2,294",,2981,179.78
O,APP-Acquisition-Android,1280886,11568,"1,220","1,782",,3181,248.24
O,APP-Acquisition-iOS,2174956,10548,"2,955","2,803",,1104,324.43
O,APP-Acquisition-iOS,488086,3086,"1,176","1,243",,315,82.42
O,Web-Retargeting,509571,4323,144.76,,3136,89,15.57
O,Web-Retargeting,121921,1886,53.56,,978,12,2.2
O,Web-Retargeting,5954,1517,51.5,,15,2,0.29
O,Web-Retargeting,1874,459,17.07,,19,38,10.51
O,Web-Retargeting,1259,335,11.33,,1,3,1.37
O,Web-Retargeting,631,158,5.77,,8,3,0.97
O,Web-Retargeting,312,72,2.69,,1,1,0.17
O,Web-Retargeting,363,88,2.26,,1,1,0.15
O,Web-Retargeting,3925,30,1.59,,17,0,
O,Web-Acquisition,622720,5953,249.78,,2482,455,442.58
O,Web-Acquisition,763321,12577,185.63,,4638,6,1.51
O,Web-Acquisition,35149,17577,179.07,,79,10,2.56
O,Web-Acquisition,755476,11552,151,,4014,15,1.49
O,Web-Acquisition,185924,1595,149.4,,830,259,195.87
O,Web-Acquisition,18125,4996,51.71,,103,11,6.86
O,Web-Acquisition,3045,2392,24.98,,6,0,0.3
O,Web-Acquisition,1251,824,8.51,,6,1,0.46
O,Web-Acquisition,408,276,3.09,,2,0,
O,Web-Acquisition,333,137,1.37,,7,0,3.65
O,Web-Acquisition,798904,1155,0,,496,6,1.28
O,Web-Acquisition,853408,1514,0,,713,0,0.2
O,SEM-Brand,14562,4904,361.2,,6669,2034,925.55
O,SEM-Brand,30083,7208,294.15,,9116,1738,372.76
O,SEM-Brand,8074,1918,67.89,,2218,464,107.26
O,SEM-Brand,957,344,23.69,,554,155,72.78
O,SEM-Flights,6329,1785,580.34,,2003,449,209.38
O,SEM-Flights,21731,1777,278.18,,1599,281,122.2
O,SEM-Flights,32805,6753,257.13,,7757,1281,225.79
O,SEM-Flights,20471,784,222.59,,803,108,64.41
O,SEM-Flights,30640,5679,197.69,,5072,870,145.9
O,SEM-Flights,53195,1471,197.37,,1366,162,66.9
O,SEM-Flights,30377,3841,143.2,,3604,536,89.07
O,SEM-Flights,3287,661,140.81,,627,149,67.96
O,SEM-Flights,51615,4506,135.01,,4079,747,113.12
O,SEM-Flights,4125,517,110.34,,508,90,36.15
O,SEM-Flights,13593,1296,89.33,,947,166,42.62
O,SEM-Flights,30322,1904,81.95,,1736,207,42.79
O,SEM-Flights,14450,513,80.66,,523,63,26.99
O,SEM-Flights,30004,205,54.37,,166,28,11.51
O,SEM-Flights,1468,229,50.64,,209,42,16.54
O,SEM-Flights,5769,170,45.7,,211,59,40.98
O,SEM-Flights,6355,170,45.49,,167,25,9.13
O,SEM-Flights,5290,129,40.65,,186,31,11.16
O,SEM-Flights,3670,133,39.59,,130,19,8.18
O,SEM-Flights,7012,1057,34.92,,798,138,40.61
O,SEM-Flights,3127,117,30.5,,111,9,3.42
O,SEM-Flights,15598,545,23.89,,533,91,15.63
O,SEM-Flights,4794,685,22.75,,580,56,10.57
O,SEM-Flights,1037,108,21.36,,96,20,9.6
O,SEM-Flights,437,79,19.15,,70,16,7.43
O,SEM-Flights,5659,186,14.49,,308,50,9.66
O,SEM-Flights,8047,369,13.58,,379,61,9.8
