country,channel,impressions,clicks,cost,installs,visits,purchases,revenue
A,SEM-Flights,2347,31,13.6,,31,5,4.99
A,SEM-Flights,4988,107,12.4,,124,38,25.54
A,SEM-Flights,2224,22,12.15,,22,3,0.98
A,SEM-Flights,2335,208,11.19,,206,32,10.71
A,SEM-Flights,4673,95,11.06,,77,39,13.21
A,SEM-Flights,1720,27,11.02,,28,14,10.66
A,SEM-Flights,970,126,8.17,,93,15,7.57
A,SEM-Flights,1089,16,7.49,,23,3,2.19
A,SEM-Flights,1097,17,6.64,,17,1,2.43
A,SEM-Flights,102,14,5.76,,12,3,1.43
A,SEM-Flights,491,72,5.62,,62,8,4.46
A,SEM-Flights,1117,12,5.32,,14,2,4.4
A,SEM-Flights,2306,74,5.13,,65,7,0.83
A,SEM-Flights,650,75,4.7,,86,25,7.31
A,SEM-Flights,62,6,4.12,,7,1,0.43
A,SEM-Flights,2255,116,4.01,,118,8,1.51
A,SEM-Flights,1058,9,3.91,,9,5,6.03
A,SEM-Flights,188,33,2.93,,25,1,0.59
A,SEM-Flights,826,8,2.83,,6,1,0.45
A,SEM-Flights,448,45,1.77,,43,3,1.32
A,SEM-Flights,62,6,1.75,,4,0,
A,SEM-Flights,11,2,1.71,,2,0,
A,SEM-Flights,540,18,1.57,,17,1,0.58
A,SEM-Flights,581,11,1.15,,11,3,2.73
A,SEM-Flights,43,2,1.1,,2,0,
A,SEM-Flights,155,19,0.86,,22,5,1.61
A,SEM-Flights,27,7,0.82,,9,0,
A,SEM-Flights,1760,7,0.8,,5,2,0.41
A,SEM-Flights,341,23,0.67,,22,0,
A,SEM-Flights,154,3,0.65,,3,0,
A,SEM-Flights,112,5,0.5,,4,0,
A,SEM-Flights,24,5,0.43,,3,0,1.99
A,SEM-Flights,5,1,0.34,,1,0,
A,SEM-Flights,23,1,0.28,,1,0,
A,SEM-Flights,71,1,0.28,,1,0,
A,SEM-Flights,57,4,0.23,,3,1,0.25
A,SEM-Flights,185,2,0.16,,1,0,0.12
A,SEM-Flights,44,2,0.15,,2,0,
A,SEM-Flights,33,2,0.14,,1,0,
A,SEM-Flights,15,2,0.11,,3,0,
A,SEM-Flights,12,1,0.1,,1,0,
A,SEM-Flights,3,1,0.07,,1,0,
A,SEM-Flights,18,2,0.06,,2,2,0.5
A,SEM-Flights,8,1,0.03,,2,0,
A,SEM-Flights,99,1,0.03,,1,0,
A,SEM-Hotels,127231,4902,2228.1,,4421,1705,1387.14
A,SEM-Hotels,155506,10465,1978.4,,8738,2021,1551.51
A,SEM-Hotels,138804,2721,1787.52,,2695,943,671.05
A,SEM-Hotels,68784,3065,1024.32,,2844,947,718.47
A,SEM-Hotels,98676,3810,855.22,,3520,871,567.08
A,SEM-Hotels,61937,1501,558.7,,1367,338,228.17
A,SEM-Hotels,70216,2728,508.24,,2519,312,216.4
A,SEM-Hotels,24414,1113,499.75,,1056,427,336.69
A,SEM-Hotels,26073,1885,423.66,,1630,534,349.57
A,SEM-Hotels,23476,880,390.61,,757,244,166.38
A,SEM-Hotels,26288,419,277.73,,413,117,84.46
A,SEM-Hotels,34220,1777,267.16,,1393,330,280.43
A,SEM-Hotels,29366,635,235.82,,543,189,134.28
A,SEM-Hotels,32008,1322,224.5,,1244,159,102.19
A,SEM-Hotels,33537,263,163.62,,254,135,110.37
A,SEM-Hotels,28517,460,160.58,,412,116,78.29
A,SEM-Hotels,21884,442,128.48,,426,171,117.92
A,SEM-Hotels,2750,179,112.67,,136,52,41.71
A,SEM-Hotels,10711,700,108.41,,549,112,82.52
A,SEM-Hotels,15681,582,102.91,,516,131,96.48
A,SEM-Hotels,21298,176,95.64,,170,45,31.47
A,SEM-Hotels,7352,457,90.31,,285,89,58.9
A,SEM-Hotels,8208,454,86.15,,410,97,81.94
A,SEM-Hotels,2762,125,74.44,,122,56,43.55
A,SEM-Hotels,4315,174,73.02,,144,53,40.11
A,SEM-Hotels,2102,121,68.88,,116,43,28.93
A,SEM-Hotels,7434,364,55.07,,338,88,58.5
A,SEM-Hotels,1202,97,48.88,,86,20,15.03
A,SEM-Hotels,835,81,42.98,,78,47,39.78
A,SEM-Hotels,1917,71,41.44,,73,21,17.31
A,SEM-Hotels,1694,96,38.35,,78,31,37.23
A,SEM-Hotels,5345,69,31.75,,55,30,20.31
A,SEM-Hotels,4977,80,30.42,,74,12,6.29
A,SEM-Hotels,849,18,25.67,,20,7,6.2
A,SEM-Hotels,3032,102,20.64,,107,21,11.28
A,SEM-Hotels,1154,72,20,,46,11,10.58
A,SEM-Hotels,3019,144,15.62,,133,28,18.18
A,SEM-Hotels,764,48,14.35,,37,4,4.11
A,SEM-Hotels,1615,72,13.54,,64,16,13.1
A,SEM-Hotels,510,20,11.94,,19,6,4.32
A,SEM-Hotels,558,12,11.56,,10,0,
A,SEM-Hotels,395,16,10.72,,8,4,3.83
A,SEM-Hotels,1927,84,8.35,,80,9,6.82
A,SEM-Hotels,1237,32,8.15,,35,5,6.59
A,SEM-Hotels,345,14,7.27,,11,4,3.5
A,SEM-Hotels,1281,44,6.87,,41,2,2.8
A,SEM-Hotels,346,15,6.54,,17,0,0.43
A,SEM-Hotels,695,27,6.46,,24,11,5.29
A,SEM-Hotels,1060,17,6.14,,18,8,5.46
A,SEM-Hotels,1506,40,5.21,,44,3,2.07
A,SEM-Hotels,252,15,4.82,,13,7,5.97
A,SEM-Hotels,23,5,3.6,,5,0,0.23
A,SEM-Hotels,742,18,3.41,,13,0,
A,SEM-Hotels,236,4,2.46,,4,2,1.66
A,SEM-Hotels,200,5,2.44,,6,1,0.75
A,SEM-Hotels,206,3,1.96,,5,3,2.77
A,SEM-Hotels,551,3,1.49,,2,1,0.16
A,SEM-Hotels,366,9,1.27,,9,0,
A,SEM-Hotels,35,1,1.05,,2,0,
A,SEM-Hotels,270,3,0.98,,3,0,
A,SEM-Hotels,20,1,0.51,,1,0,
A,SEM-Hotels,151,1,0.34,,,0,
A,SEM-Hotels,51,2,0.15,,2,0,
A,SEM-Hotels,55,3,0.14,,2,0,
B,APP-Acquisition-Android,1203142,4644,811,"1,049",,1345,152.24
B,APP-Acquisition-Android,912395,5383,725,983,,1037,130.82
B,APP-Acquisition-iOS,1051538,3955,912,882,,438,154.45
B,APP-Acquisition-iOS,322166,1997,835,672,,341,107.39
B,Web-Retargeting,504551,8030,219.86,,4587,14,3.15
B,Web-Retargeting,2481,679,21.06,,10,1,0.48
B,Web-Retargeting,57848,720,20.73,,456,4,1.17
B,Web-Retargeting,642,172,4.83,,3,0,
B,Web-Retargeting,425,143,4.11,,2,0,0.46
B,Web-Retargeting,192,57,2.05,,2,0,0.24
B,Web-Retargeting,913,13,0.69,,3,0,
B,Web-Acquisition,211382,1346,160.66,,705,67,28.77
B,Web-Acquisition,692263,10606,156.3,,4958,1,0.49
B,Web-Acquisition,248179,1597,132.99,,804,57,32.1
B,Web-Acquisition,20260,10287,105.75,,49,1,0.33
B,Web-Acquisition,3993,1865,18.67,,28,8,4.33
B,Web-Acquisition,1730,1196,12.37,,3,3,0.84
B,Web-Acquisition,33237,857,8.72,,517,1,0.08
B,Web-Acquisition,757,525,5.58,,5,4,0.71
B,Web-Acquisition,93,54,0.54,,2,0,0.09
